average_song_duration_in_minitues, date
3.3547833333333332, 2018-08-17
3.3547833333333332, 2018-08-24
2.896666666666667, 2018-08-31
3.55515, 2018-09-07
3.55515, 2018-09-14
3.55515, 2018-09-21
3.55515, 2018-09-28
3.55515, 2018-10-05
5.27445, 2018-10-12
3.55515, 2018-10-19
3.5955500000000002, 2018-10-26
3.5955500000000002, 2018-11-02
3.4553333333333334, 2018-11-09
3.4553333333333334, 2018-11-16
3.4553333333333334, 2018-11-23
3.4553333333333334, 2018-11-30
3.4553333333333334, 2018-12-07
3.4553333333333334, 2018-12-14
4.336, 2018-12-21
3.1239333333333335, 2018-12-28
3.1239333333333335, 2019-01-04
3.1239333333333335, 2019-01-11
3.1239333333333335, 2019-01-18
2.977116666666667, 2019-01-25
2.977116666666667, 2019-02-01
2.977116666666667, 2019-02-08
3.174, 2019-02-15
2.977116666666667, 2019-02-22
3.036016666666667, 2019-03-01
3.036016666666667, 2019-03-08
3.036016666666667, 2019-03-15
3.036016666666667, 2019-03-22
3.036016666666667, 2019-03-29
3.036016666666667, 2019-04-05
3.036016666666667, 2019-04-12
2.6177833333333336, 2019-04-19
2.6177833333333336, 2019-04-26
3.2711166666666665, 2019-05-03
3.2711166666666665, 2019-05-10
3.665783333333333, 2019-05-17
3.665783333333333, 2019-05-24
3.665783333333333, 2019-05-31
3.665783333333333, 2019-06-07
3.665783333333333, 2019-06-14
3.665783333333333, 2019-06-21
3.665783333333333, 2019-06-28
3.665783333333333, 2019-07-05
3.182666666666667, 2019-07-12
4.39, 2019-07-19
3.182666666666667, 2019-07-26
3.182666666666667, 2019-08-02
3.182666666666667, 2019-08-09
3.182666666666667, 2019-08-16
3.182666666666667, 2019-08-23
4.39, 2019-08-30
4.39, 2019-09-06
4.39, 2019-09-13
4.39, 2019-09-20
4.39, 2019-09-27
3.4906333333333333, 2019-10-04
3.4906333333333333, 2019-10-11
3.4906333333333333, 2019-10-18
3.4906333333333333, 2019-10-25
3.4906333333333333, 2019-11-01
3.4906333333333333, 2019-11-08
3.4906333333333333, 2019-11-15
3.4906333333333333, 2019-11-22
3.4906333333333333, 2019-11-29
3.4906333333333333, 2019-12-06
3.4906333333333333, 2019-12-13
3.3936166666666665, 2019-12-20
3.6803666666666666, 2019-12-27
3.6117833333333333, 2020-01-03
3.6117833333333333, 2020-01-10
3.6117833333333333, 2020-01-17
3.5133333333333336, 2020-01-24
3.5851166666666665, 2020-01-31
3.334, 2020-02-07
3.334, 2020-02-14
4.03775, 2020-02-21
3.334, 2020-02-28
3.334, 2020-03-06
3.334, 2020-03-13
2.936983333333333, 2020-03-20
2.936983333333333, 2020-03-27
3.334, 2020-04-03
3.334, 2020-04-10
3.334, 2020-04-17
4.166816666666667, 2020-04-24
4.266666666666667, 2020-05-01
4.11765, 2020-05-08
3.0288833333333334, 2020-05-15
3.0288833333333334, 2020-05-22
3.0366666666666666, 2020-05-29
3.0288833333333334, 2020-06-05
3.0288833333333334, 2020-06-12
3.0288833333333334, 2020-06-19
3.0288833333333334, 2020-06-26
